Inf;Player;Acceleration;Best Position;Media Description;Eligible;Position;Agility;Balance;Jumping Reach;Natural Fitness;Pace;Stamina;Strength;Free Kick Taking;Marking;Technique;Recommendation;Cons;Pros;2nd Nat;Right Foot;Nation of Birth;EU National;Left Foot;Height;Age;Morale;Knowledge;Injury Susceptibility;Tackling;Penalty Taking;Passing;Long Throws;Long Shots;Heading;Communication;First Touch;Finishing;Dribbling;Crossing;Corners;Based In;Division;Work Rate;Team Work;Vision;Positioning;Off The Ball;Leadership;Club;Decisions;Flair;Determination;Concentration;Aggression;Composure;Anticipation;Bravery;Throwing;Rushing Out (Tendency);Aerial Reach;Reflexes;Punching;One On Ones;Command Of Area;Kicking;Eccentricity;Handling;Transfer Value;Recommendation
;Raúl Rangel;10-14;GK;Goalkeeper;Yes;GK;14-18;9-13;15-19;-;7-13;-;11-15;-;-;6-12;D;Unknown;Team Player;Jamaica;Very Strong;Mexico;False;Weak;187 cm;25;Scouting Required;Minimal Knowledge;Very Low;-;-;-;-;-;-;8-12;4-8;-;-;-;-;Mexico;First Division;8-14;5-11;-;11-15;-;11-15;Chivas;10-16;-;-;12-16;3-7;8-12;12-16;11-15;8-12;8-14;9-15;12-16;10-16;14-18;11-17;11-15;5-9;10-14;€6.6M;D
;Sam Byram;12;D (R);Full-back;Yes;D (RLC), M (R);9-11;12-14;12;13-16;13;12;10;3-5;13;12;D;Unknown;Unknown;Scotland;Very Strong;England;False;Fairly Strong;183 cm;32;Fairly Okay;None;Very High;13;3-5;11;12-14;7-9;13;1-2;11;7-9;11;12;3-6;England;Premier League;13;13;10-12;13;10-12;11-14;Leeds;11-13;7-10;13;12;11;11;12;12-14;2-4;1-3;1-2;1-3;2-4;1-2;2-4;1-2;1-4;1-3;€240K - €2.4M;D
;Genaro;11;DM;Centre-back;Yes;D (C), DM;10;9;12;11;12;12;13;9;12;12;D;Unknown;Intelligence;England;Very Strong;Spain;True;Reasonable;185 cm;27;Quite Good;Extensive Knowledge;Very Low;12;10;12;7;10;11;3;12;8;11;10;7;Portugal;Second League;12;12;13;12;10;9;Leiria;12;8;14;11;14;9;13;12;1;4;2;1;3;2;1;2;2;1;€425K - €1.2M;D
;Sidnei Tavares;12;M (C);Midfielder;Yes;DM, M (C);13;13;13;13;12;13;11;9-12;9-11;13;D;Unknown;Skill;Pays Basque;Very Strong;Portugal;True;Fairly Strong;188 cm;23;Fairly Good;Reasonable Knowledge;Average;12;10-12;13;8-10;11;10;1-3;13;8;12;12;10-12;England;National 3 - Group E;12;12;10;12;11-13;7;Blackburn;8-10;13;12;9-11;10;12-14;10-12;10;3-5;1-4;1-4;1-2;1;1-3;1;2-4;2-4;3-5;€2.2M - €4.6M;D
;Demba Seck;16;AM (R);Winger;Yes;AM (RL), ST (C);15;12;12;16;16;12;12;5;4-6;12;D;Intelligence;Speed;Italy;Weak;Senegal;True;Very Strong;190 cm;24;Good;Reasonable Knowledge;Above Average;6-8;10;11;4-6;8;8-10;1-3;12;11;13;11;5;Serbia;Second Division;8;10;11;5-8;12;5-7;Partizan;8;12;11;8-10;6-8;10;7-10;9;2-4;1-3;1-3;2-5;1-3;2-4;1-3;1-2;2-4;2-4;€900K - €1.9M;D
;Matheus Jesus;12;AM (C);Midfielder;Yes;M/AM (C), ST (C);12;10;12;14;13;14;10;4;9;13;D;Skill;Intelligence;Italy;Fairly Strong;Brazil;True;Very Strong;187 cm;28;Fairly Good;Extensive Knowledge;Very Low;10;4;14;5;8;10;3;12;11;7;8;7;Japan;;12;10;13;12;8;8;Nagasaki;13;9;6;12;9;10;14;9;4;2;2;2;3;2;2;2;1;2;€100K - €1M;D
;Matheus Jesus;12;AM (C);Midfielder;Yes;M/AM (C), ST (C);12;10;12;14;13;14;10;4;9;13;D;Skill;Intelligence;Italy;Fairly Strong;Brazil;True;Very Strong;187 cm;28;Fairly Good;Extensive Knowledge;Very Low;10;4;14;5;8;10;3;12;11;7;8;7;Japan;J2 League;12;10;13;12;8;8;Nagasaki;13;9;6;12;9;10;14;9;4;2;2;2;3;2;2;2;1;2;€100K - €1M;D
Wnt;Duccio Degli Innocenti;12;M (C);Midfielder;Yes;DM, M (C);12;11;11;11;12;13;11;12-14;9-12;14;D;Unknown;Intelligence;England;Very Strong;Italy;True;Weak;183 cm;22;Fairly Good;Reasonable Knowledge;Below Average;9;14-16;13;4-7;13;10;1-4;13;11;12;13;12-15;Italy;;10;16;14;12;13;9;Empoli FC;12-14;10;10;11-14;11;8-11;15-17;9;2-5;1-3;1-3;1-3;2-4;2-5;2-4;1-3;1-4;1-3;€550K - €5.4M;D
;Luke Thomas;11;D (L);Full-back;Yes;D (LC), WB (L);13;10;11;14;12;16;10;10-12;12;13;D;Unknown;Team Player;Serbia;Reasonable;England;False;Very Strong;181 cm;24;Very Good;Reasonable Knowledge;Below Average;13;5-7;12;12-15;9-12;10;1-3;12;9-11;12;12;8-10;England;Sky Bet Championship;15;14;10-12;13;11-13;8-10;Leicester;12;5-7;13;13;9;13;14;12;1-3;2-4;1-3;2-4;1-4;1;1-4;1-2;1-2;1-3;€12.5M - €15M;D
Lst;John Ruddy;6-9;GK;Goalkeeper;Yes;GK;9-13;11-15;13-16;11-14;6-9;13-16;13-17;4-8;1-2;10-13;D;Unknown;Unknown;England;Very Strong;England;False;Weak;193 cm;38;Scouting Required;Marginal Knowledge;Below Average;1-3;1-2;9-12;1-4;2-5;1;12-16;7-11;1-4;1-4;2-5;1-2;England;Premier League;6-9;10-13;6-9;11-15;3-7;15-18;Newcastle;11-14;1-4;15-19;11-14;5-8;11-15;10-14;13-17;8-12;12-15;11-14;11-15;9-12;11-14;13-16;6-10;5-8;11;€0;D
;Lee Dong-Geong;11-15;AM (R);Winger;Yes;M (RC), AM (RLC);13-17;6-12;5-9;10-14;11-17;9-13;-;8-14;-;10-14;E;Marking;Speed;Russia;Fairly Strong;South Korea;False;Very Strong;175 cm;28;Scouting Required;Minimal Knowledge;Very Low;-;6-10;12-16;-;6-10;5-11;-;14-18;8-14;12-16;9-13;11-15;South Korea;Saudi Premier Division;7-11;9-15;12-18;8-14;10-14;6-10;Ulsan;9-13;11-15;11-15;9-13;-;12-16;-;-;-;-;-;-;-;-;-;-;-;-;€1.2M - €2.8M;E
Wnt;Duccio Degli Innocenti;12;M (C);Midfielder;Yes;DM, M (C);12;11;11;11;12;13;11;12-14;9-12;14;D;Unknown;Intelligence;England;Very Strong;Italy;True;Weak;183 cm;22;Fairly Good;Reasonable Knowledge;Below Average;9;14-16;13;4-7;13;10;1-4;13;11;12;13;12-15;Italy;Serie BKT;10;16;14;12;13;9;Empoli FC;12-14;10;10;11-14;11;8-11;15-17;9;2-5;1-3;1-3;1-3;2-4;2-5;2-4;1-3;1-4;1-3;€550K - €5.4M;D
;Lee Dong-Geong;11-15;AM (R);Winger;Yes;M (RC), AM (RLC);13-17;6-12;5-9;10-14;11-17;9-13;-;8-14;-;10-14;E;Marking;Speed;Russia;Fairly Strong;South Korea;False;Very Strong;175 cm;28;Scouting Required;Minimal Knowledge;Very Low;-;6-10;12-16;-;6-10;5-11;-;14-18;8-14;12-16;9-13;11-15;South Korea;K League 1;7-11;9-15;12-18;8-14;10-14;6-10;Ulsan;9-13;11-15;11-15;9-13;-;12-16;-;-;-;-;-;-;-;-;-;-;-;-;€1.2M - €2.8M;E
Lst;Liam Walsh;11;M (C);Midfielder;Yes;M (C);13;14;8;6;11;11;9;12-14;4-6;14;E;Marking;Team Player;Guadeloupe;Very Strong;England;False;Fairly Strong;168 cm;28;Excellent;Reasonable Knowledge;High;10;10-12;14;6-9;10;7;1-3;13;10;13;12;12-14;England;;12;14;15;7;11-13;10;Luton;9-12;14;15;9-11;18;12-15;11-13;15;2-5;1-3;2-4;1-2;1-4;1-3;1-2;1-2;1;3-5;€1.1M;E
;Jean-Pierre Mendy;10-15;D (R);Full-back;Yes;D/WB (R);7-13;2-7;7-12;12-17;9-14;8-15;8-15;-;3-8;4-11;-;Unknown;Unknown;France;Very Strong;Senegal;True;Weak;185 cm;31;Scouting Required;None;Very Low;12-17;-;9-14;5-12;-;4-9;-;10-17;-;3-9;12-17;-;France;Stars League;4-11;6-11;-;6-11;3-9;-;US Saint-Malo;7-14;-;9-16;2-7;9-14;7-14;3-9;5-10;-;-;-;-;-;-;-;-;-;-;€0 - €45K;-
;Tidiane Keita;-;DM;Midfielder;Yes;DM, M (C);-;-;-;-;-;-;11-19;-;-;-;-;Unknown;Unknown;France;Very Weak;France;True;Very Weak;179 cm;29;Scouting Required;None;Very Low;12-17;-;12-18;-;1-9;-;-;10-18;-;-;-;-;Romania;;8-16;-;10-15;-;-;-;CFR Cluj;-;3-9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Unknown;-
Inj;Ayoub Ouhafsa;9-15;AM (R);Winger;Yes;AM (R), ST (C);10-15;-;-;-;6-14;-;-;-;-;-;-;Unknown;Unknown;Morocco;Very Weak;France;True;Very Weak;180 cm;27;Scouting Required;None;Very Low;-;-;7-13;-;-;-;-;6-12;8-13;9-14;7-13;-;Switzerland;National 2 - A;-;-;-;-;-;-;Bavois;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Unknown;-
;Ryan Ferhaoui;8-14;M (C);Midfielder;Yes;DM, M (C);10-16;7-11;9-13;9-15;12-16;10-14;9-13;4-8;8-12;10-14;-;Unknown;Unknown;Algeria;Very Strong;France;True;Weak;183 cm;28;Scouting Required;None;Very Low;11-15;-;7-13;-;8-12;12-16;-;5-9;6-10;9-15;6-12;-;France;Saudi Premier Division;10-14;9-13;11-15;4-8;8-14;4-10;US Créteil-Lusitanos;12-16;3-7;16-20;7-11;7-13;7-11;11-17;9-13;-;-;-;-;-;-;-;-;-;-;€28K - €275K;-
Lst;Liam Walsh;11;M (C);Midfielder;Yes;M (C);13;14;8;6;11;11;9;12-14;4-6;14;E;Marking;Team Player;Guadeloupe;Very Strong;England;False;Fairly Strong;168 cm;28;Excellent;Reasonable Knowledge;High;10;10-12;14;6-9;10;7;1-3;13;10;13;12;12-14;England;Sky Bet League One;12;14;15;7;11-13;10;Luton;9-12;14;15;9-11;18;12-15;11-13;15;2-5;1-3;2-4;1-2;1-4;1-3;1-2;1-2;1;3-5;€1.1M;E
;Jean-Pierre Mendy;10-15;D (R);Full-back;Yes;D/WB (R);7-13;2-7;7-12;12-17;9-14;8-15;8-15;-;3-8;4-11;-;Unknown;Unknown;France;Very Strong;Senegal;True;Weak;185 cm;31;Scouting Required;None;Very Low;12-17;-;9-14;5-12;-;4-9;-;10-17;-;3-9;12-17;-;France;National 2 - A;4-11;6-11;-;6-11;3-9;-;US Saint-Malo;7-14;-;9-16;2-7;9-14;7-14;3-9;5-10;-;-;-;-;-;-;-;-;-;-;€0 - €45K;-
;Tidiane Keita;-;DM;Midfielder;Yes;DM, M (C);-;-;-;-;-;-;11-19;-;-;-;-;Unknown;Unknown;France;Very Weak;France;True;Very Weak;179 cm;29;Scouting Required;None;Very Low;12-17;-;12-18;-;1-9;-;-;10-18;-;-;-;-;Romania;SuperLiga;8-16;-;10-15;-;-;-;CFR Cluj;-;3-9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Unknown;-
;Ryan Ferhaoui;8-14;M (C);Midfielder;Yes;DM, M (C);10-16;7-11;9-13;9-15;12-16;10-14;9-13;4-8;8-12;10-14;-;Unknown;Unknown;Algeria;Very Strong;France;True;Weak;183 cm;28;Scouting Required;None;Very Low;11-15;-;7-13;-;8-12;12-16;-;5-9;6-10;9-15;6-12;-;France;National 2 - C;10-14;9-13;11-15;4-8;8-14;4-10;US Créteil-Lusitanos;12-16;3-7;16-20;7-11;7-13;7-11;11-17;9-13;-;-;-;-;-;-;-;-;-;-;€28K - €275K;-
;Salim Akkal;10-16;M (C);Midfielder;Yes;DM, M/AM (C);5-9;12-16;7-13;10-16;8-12;11-15;8-12;7-11;3-9;11-15;-;Unknown;Unknown;Algeria;Very Strong;France;True;Weak;182 cm;25;Scouting Required;None;Average;6-10;-;11-17;-;10-14;7-11;-;10-14;11-15;9-13;10-16;-;France;;11-15;11-15;8-12;10-14;8-12;8-14;Le Puy Foot 43;10-14;7-13;7-11;5-11;6-12;11-15;5-9;12-16;-;-;-;-;-;-;-;-;-;-;€10K - €95K;-
;Kenny Moulet;7-11;M (C);Midfielder;Yes;DM, M (C);12-16;8-12;7-13;9-13;10-14;5-9;3-9;4-8;5-11;7-11;-;Unknown;Unknown;Netherlands;Weak;France;True;Very Strong;179 cm;34;Scouting Required;None;Very Low;9-13;-;8-12;-;7-11;7-11;-;10-16;7-11;4-8;2-6;-;France;National 2 - C;11-15;7-11;11-15;10-14;10-14;8-12;Hyères 83 FC;12-16;3-9;1-7;7-13;4-8;5-11;8-12;7-11;-;-;-;-;-;-;-;-;-;-;€0 - €35K;-
;Brian Feneuil;9-14;M (L);Full-back;Yes;WB/M/AM (L);12-17;6-12;6-13;10-15;10-15;11-16;1-8;3-9;-;5-10;-;Unknown;Unknown;Belgium;Very Strong;France;True;Weak;178 cm;29;Scouting Required;None;Very Low;-;3-8;4-9;-;5-10;-;-;5-12;4-10;8-13;4-9;4-11;France;National 2 - C;6-11;5-10;5-10;-;7-12;9-14;Limonest Dardilly;7-12;5-12;4-11;-;-;3-10;-;5-11;-;-;-;-;-;-;-;-;-;-;€0 - €75K;-
;Hadamou Traoré;8-12;M (C);Midfielder;Yes;M (C);6-10;10-14;9-13;9-13;5-9;5-11;10-16;-;6-10;8-14;-;Unknown;Unknown;Mauritania;Very Strong;France;True;Reasonable;187 cm;32;Scouting Required;None;Very Low;8-12;-;14-18;-;5-11;11-15;-;13-19;6-10;3-7;4-8;-;France;Second Division;10-16;7-11;5-9;8-12;8-12;14-18;Sheffield Wednesday;-;1-5;5-11;5-9;15-19;8-14;8-12;7-11;-;-;-;-;-;-;-;-;-;-;€0;-
;Salim Akkal;10-16;M (C);Midfielder;Yes;DM, M/AM (C);5-9;12-16;7-13;10-16;8-12;11-15;8-12;7-11;3-9;11-15;-;Unknown;Unknown;Algeria;Very Strong;France;True;Weak;182 cm;25;Scouting Required;None;Average;6-10;-;11-17;-;10-14;7-11;-;10-14;11-15;9-13;10-16;-;France;National;11-15;11-15;8-12;10-14;8-12;8-14;Le Puy Foot 43;10-14;7-13;7-11;5-11;6-12;11-15;5-9;12-16;-;-;-;-;-;-;-;-;-;-;€10K - €95K;-
;Merdi Eloni;9-16;D (R);Full-back;Yes;D (RL);12-19;1-4;8-13;9-16;14-19;6-12;4-9;-;6-11;4-10;-;Unknown;Unknown;The Gambia;Very Strong;France;True;Weak;185 cm;28;Scouting Required;None;Very Low;12-17;-;3-10;1-3;-;8-13;-;6-11;-;1-7;6-13;-;France;R1 - Occitanie - A;5-11;7-12;-;4-9;4-11;-;Southampton;10-16;-;6-11;4-9;7-14;4-9;8-15;3-8;-;-;-;-;-;-;-;-;-;-;€0;-
;Stéphan Varsovie;10-14;D (R);Full-back;Yes;D (R);7-11;2-6;8-12;11-15;4-10;10-16;5-9;3-7;8-12;6-12;-;Unknown;Unknown;Martinique;Very Strong;France;True;Weak;179 cm;34;Scouting Required;None;Very Low;9-15;-;7-11;1-4;-;5-11;-;5-9;2-6;6-10;11-15;7-11;France;National 2 - C;8-14;5-11;5-11;10-14;6-10;-;AS Saint-Priest;13-19;5-9;4-8;9-13;4-8;2-6;12-16;8-12;-;-;-;-;-;-;-;-;-;-;€4K - €14K;-
;Quentin Canalès;9-13;D (C);Centre-back;Yes;D (C), DM;13-17;5-9;5-11;5-9;11-15;3-7;7-13;4-8;11-17;3-7;-;Unknown;Unknown;Kosovo;Very Strong;France;True;Fairly Strong;178 cm;27;Scouting Required;None;Very Low;11-15;-;3-7;2-8;3-7;9-13;-;5-11;-;2-6;-;3-9;France;Isuzu UTE A-League;6-10;4-8;5-9;8-12;4-8;2-6;US Feurs;8-12;3-9;1-7;8-14;7-11;2-8;11-15;6-10;-;-;-;-;-;-;-;-;-;-;€35K - €120K;-
Inj;Lucas Camelo;11-15;D (C);Centre-back;Yes;D (C), DM;9-13;10-14;10-14;11-15;8-12;8-14;10-16;4-8;7-11;5-11;-;Unknown;Unknown;Portugal;Weak;France;True;Very Strong;191 cm;26;Scouting Required;None;Above Average;9-13;-;10-14;2-8;3-9;12-16;-;8-14;-;7-11;-;2-6;France;National;5-11;7-11;9-13;9-13;8-12;8-12;FC Villefranche;7-13;6-10;8-14;7-11;11-15;9-15;10-14;9-13;-;-;-;-;-;-;-;-;-;-;€26K - €275K;-
;Pierre Ruffaut;6-12;M (C);Midfielder;Yes;M (C);8-14;8-12;9-13;9-15;9-13;10-14;10-14;6-10;8-12;9-13;-;Unknown;Unknown;Syria;Very Strong;France;True;Weak;182 cm;38;Scouting Required;None;Very Low;9-13;-;8-14;-;9-13;11-15;-;9-13;5-9;8-14;6-12;-;France;Super League 1;10-14;12-16;12-16;6-10;9-15;8-14;Onet le Château;9-13;3-7;3-7;9-13;5-11;10-14;9-15;5-9;-;-;-;-;-;-;-;-;-;-;€0 - €40K;-
;Pierre Ruffaut;6-12;M (C);Midfielder;Yes;M (C);8-14;8-12;9-13;9-15;9-13;10-14;10-14;6-10;8-12;9-13;-;Unknown;Unknown;Syria;Very Strong;France;True;Weak;182 cm;38;Scouting Required;None;Very Low;9-13;-;8-14;-;9-13;11-15;-;9-13;5-9;8-14;6-12;-;France;National 3 - Group A;10-14;12-16;12-16;6-10;9-15;8-14;Onet le Château;9-13;3-7;3-7;9-13;5-11;10-14;9-15;5-9;-;-;-;-;-;-;-;-;-;-;€0 - €40K;-
;Sami Belkorchia;10-14;D (L);Full-back;Yes;D (L);11-15;7-11;10-14;11-15;8-14;10-16;2-6;1-4;8-12;10-16;-;Unknown;Unknown;Algeria;Weak;France;True;Very Strong;180 cm;30;Scouting Required;None;Very Low;8-14;-;9-13;7-11;-;6-12;-;6-10;1-3;6-10;10-14;7-11;France;South African Premiership;7-13;5-11;3-9;11-15;5-9;-;Lyon - La Duchère;13-19;10-14;10-14;8-12;10-14;4-8;9-13;8-12;-;-;-;-;-;-;-;-;-;-;€18K - €180K;-
;Mohamed Nehari;11-15;D (C);Centre-back;Yes;D (C);9-13;5-11;9-13;14-18;9-15;9-13;12-16;1-3;12-16;2-6;-;Unknown;Unknown;Algeria;Very Strong;France;True;Weak;183 cm;32;Scouting Required;None;Below Average;12-18;-;7-11;3-7;1-4;10-16;-;8-12;-;1-3;-;1-5;France;National;5-9;6-12;5-11;8-14;6-10;11-15;SC Aubagne Air Bel;10-14;3-7;13-17;5-9;10-14;9-13;11-15;2-8;-;-;-;-;-;-;-;-;-;-;€0 - €100K;-
;Keheran Ganova;8-16;M (C);Midfielder;Yes;D (L), M (C);-;-;-;-;13-19;-;9-14;-;6-11;-;-;Unknown;Unknown;France;Very Weak;Réunion;True;Very Weak;188 cm;24;Scouting Required;None;Very Low;11-17;-;-;-;-;-;-;7-12;-;-;6-14;-;Réunion;Serie C/C;-;-;-;3-9;-;-;Ravine Blanche;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Unknown;-
;Joffrey Lobo;11-15;AM (R);Winger;Yes;AM (R), ST (C);8-14;3-9;5-9;10-14;9-13;13-17;3-7;4-10;-;9-13;-;Unknown;Unknown;Jamaica;Very Strong;France;True;Weak;175 cm;33;Scouting Required;None;Very Low;4-8;1-4;7-11;-;7-11;3-7;-;9-13;10-16;7-13;5-9;2-6;France;National 2 - A;9-13;4-8;3-7;-;8-14;10-14;FC Montlouis;11-15;7-11;8-12;6-10;6-10;7-11;5-11;4-10;-;-;-;-;-;-;-;-;-;-;€2K - €20K;-
;Keheran Ganova;8-16;M (C);Midfielder;Yes;D (L), M (C);-;-;-;-;13-19;-;9-14;-;6-11;-;-;Unknown;Unknown;France;Very Weak;Réunion;True;Very Weak;188 cm;24;Scouting Required;None;Very Low;11-17;-;-;-;-;-;-;7-12;-;-;6-14;-;Réunion;R1;-;-;-;3-9;-;-;Ravine Blanche;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Unknown;-
;Thibault Renard;10-15;ST (C);Winger;Yes;AM (R), ST (C);7-14;4-11;2-7;7-12;7-12;12-17;2-8;1-8;-;9-14;-;Unknown;Unknown;Scotland;Very Strong;France;True;Weak;176 cm;28;Scouting Required;None;Very Low;-;1-6;7-12;-;6-11;-;-;7-13;10-17;6-13;4-9;2-7;France;Premier League;7-12;1-5;1-4;-;5-12;8-13;-;10-15;7-12;3-9;-;-;4-10;-;6-13;-;-;-;-;-;-;-;-;-;-;€0;-
;Ibrahima Touré;6-12;DM;Midfielder;Yes;DM, M (C);7-13;8-12;11-15;9-15;10-14;11-15;10-14;1-5;10-14;9-13;-;Unknown;Unknown;Guinea;Weak;Guinea;True;Very Strong;183 cm;28;Scouting Required;None;Very Low;12-16;-;7-13;-;4-8;13-17;-;9-13;1-5;3-9;1-7;-;France;J2 League;10-14;12-16;9-13;7-11;4-10;6-12;Saran Football Club;8-12;5-9;11-15;10-14;9-15;9-13;11-17;10-14;-;-;-;-;-;-;-;-;-;-;€12K - €130K;-
;Karim Tlili;8-14;AM (R);Winger;Yes;AM (RLC);8-12;11-15;6-12;11-17;7-11;8-12;6-10;9-13;4-10;11-15;-;Unknown;Unknown;Tunisia;Very Strong;France;True;Weak;180 cm;35;Scouting Required;None;Above Average;-;1-3;10-16;-;7-11;6-10;-;13-17;12-16;7-11;9-15;5-11;France;Second Division;7-11;11-15;7-11;9-13;10-14;10-16;SC Aubagne Air Bel;11-15;7-13;4-8;4-10;4-10;10-14;5-9;-;-;-;-;-;-;-;-;-;-;-;€1K - €10K;-
;Drice Chaabi;-;D (C);Centre-back;Yes;D (C);-;-;12-17;-;-;-;7-12;-;9-14;-;-;Unknown;Unknown;Pays Basque;Very Weak;France;True;Very Weak;189 cm;28;Scouting Required;None;Very Low;12-18;-;-;-;-;13-19;-;4-9;-;-;-;-;Kuwait;Sky Bet Championship;-;-;-;6-12;-;-;Kazma;-;-;9-14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Unknown;-
;Boulaye Dia;13-17;ST (C);Striker;Yes;AM (C), ST (C);11-17;12-18;9-13;12-16;11-15;12-16;11-15;2-8;2-6;13-17;-;Unknown;Unknown;France;Very Strong;France;True;Reasonable;180 cm;28;Scouting Required;None;Above Average;1-3;9-15;11-15;2-6;12-16;10-14;1-4;12-16;13-19;9-15;8-12;2-6;Italy;Second League;12-16;11-15;8-12;3-9;12-18;5-9;Celesti;12-16;10-14;13-17;9-13;4-8;11-15;12-18;7-13;1-3;1-4;1-3;1-7;1-5;1-4;1-5;1-5;1-3;1-3;€9.8M - €16M;-
;Drice Chaabi;-;D (C);Centre-back;Yes;D (C);-;-;12-17;-;-;-;7-12;-;9-14;-;-;Unknown;Unknown;Pays Basque;Very Weak;France;True;Very Weak;189 cm;28;Scouting Required;None;Very Low;12-18;-;-;-;-;13-19;-;4-9;-;-;-;-;Kuwait;Premier League;-;-;-;6-12;-;-;Kazma;-;-;9-14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Unknown;-
;Ibrahim Koné;12-16;D (C);Centre-back;Yes;D (RC);12-16;4-10;6-10;13-17;12-18;1-5;7-11;1-3;12-16;3-7;-;Unknown;Unknown;France;Very Strong;Ivory Coast;True;Weak;180 cm;26;Scouting Required;None;Very Low;9-15;-;6-10;4-8;1-3;9-15;-;8-12;-;2-6;-;1-5;France;National 2 - C;4-8;5-11;5-11;4-10;5-9;12-16;US Lusitanos Saint-Maur;10-14;3-7;6-10;8-12;8-12;8-12;9-13;5-11;-;-;-;-;-;-;-;-;-;-;€3.5K - €35K;-
FrA;Pape Seye;11-15;DM;Midfielder;Yes;DM, M (C);8-14;9-15;12-16;10-14;6-10;13-17;8-12;4-10;8-12;11-15;-;Unknown;Unknown;Senegal;Very Strong;Senegal;True;Weak;189 cm;28;Scouting Required;None;Very Low;10-14;-;9-13;-;6-10;10-14;-;6-10;3-9;2-8;1-5;-;France;K League 1;13-17;4-8;3-7;10-16;4-10;9-13;-;12-16;3-7;8-12;7-11;12-16;7-11;7-13;11-17;-;-;-;-;-;-;-;-;-;-;€0;-
FrA;Sékou Fofana;7-13;AM (R);Winger;Yes;AM (R);7-13;8-12;12-16;14-20;11-15;8-12;11-15;4-8;-;8-12;-;Unknown;Unknown;Guinea;Very Strong;Guinea;True;Weak;189 cm;28;Scouting Required;None;Very Low;10-14;2-8;6-12;-;6-10;14-18;-;8-12;10-14;10-16;7-13;7-11;France;Premier League;8-12;10-14;10-14;-;8-14;4-10;-;10-14;5-9;9-13;8-12;8-14;9-13;10-16;6-10;-;-;-;-;-;-;-;-;-;-;€0;-
Inj;Dembo Gassama;11-17;D (C);Centre-back;Yes;D (RC), WB (R), DM;8-12;7-11;4-10;12-18;11-15;9-13;8-12;6-10;7-13;5-9;-;Unknown;Unknown;Serbia;Very Strong;France;True;Weak;182 cm;27;Scouting Required;None;Very Low;11-15;-;6-12;1-3;1-3;6-10;-;6-10;-;1-2;-;3-9;France;National 2 - A;6-10;5-9;5-9;11-15;2-6;11-17;Aviron Bayonnais;11-15;1-7;14-18;7-13;7-13;2-6;6-10;9-13;-;-;-;-;-;-;-;-;-;-;€35K - €120K;-
;Harouna Sy;14-18;D (L);Full-back;Yes;D/WB/M (L);9-13;10-14;3-7;12-16;12-16;8-14;11-17;8-12;7-11;8-14;-;Unknown;Unknown;Senegal;Weak;France;True;Very Strong;170 cm;29;Scouting Required;None;Very Low;10-14;2-6;12-16;7-13;5-11;5-9;1-5;10-16;5-9;6-10;10-14;6-10;France;;8-14;10-14;13-17;8-12;7-11;11-15;US Chantilly;6-12;2-6;11-17;6-10;13-17;9-15;10-14;11-15;1-7;1-5;1-3;1-5;1-5;1-2;1-4;1-4;1-3;1-5;€24K - €240K;-
Inj;Romain Chauvet;10-14;D (R);Full-back;Yes;D (R);14-18;6-10;4-10;11-15;12-16;10-14;2-8;1-3;10-16;6-10;-;Unknown;Unknown;Algeria;Very Strong;France;True;Reasonable;175 cm;30;Scouting Required;None;Very Low;8-12;-;4-8;2-8;-;6-10;-;7-13;1-4;4-8;6-10;4-10;France;National 2 - C;6-10;6-10;3-7;10-14;5-9;-;ES Cannet-Rocheville;9-13;3-9;1-7;8-14;10-14;4-10;11-15;7-11;-;-;-;-;-;-;-;-;-;-;€35K - €120K;-
;Pierre Bardy;4-10;D (C);Centre-back;Yes;D (C);6-11;9-14;11-16;12-18;2-9;10-17;5-10;-;8-13;2-9;-;Unknown;Unknown;Morocco;Very Strong;France;True;Weak;182 cm;33;Scouting Required;None;Very Low;9-16;-;1-6;-;4-11;6-13;-;3-8;-;1-3;-;-;France;National 2 - A;6-13;2-9;-;10-15;4-9;10-16;Aviron Bayonnais;12-19;-;3-8;8-13;9-15;3-8;9-14;7-12;-;-;-;-;-;-;-;-;-;-;€0 - €14K;-
FrA;Alexandre Mourabit;10-14;AM (C);Midfielder;Yes;AM (C);10-14;6-10;4-8;13-17;7-11;4-10;3-9;5-9;1-5;8-14;-;Unknown;Unknown;Morocco;Very Strong;France;True;Weak;175 cm;31;Scouting Required;None;Very Low;-;2-6;11-15;-;5-11;4-8;-;12-18;8-12;12-16;9-13;3-7;France;SuperLiga;9-15;6-10;12-16;5-9;6-10;8-12;CFR Cluj;10-16;7-11;15-20;4-8;6-10;6-12;7-11;-;-;-;-;-;-;-;-;-;-;-;€0;-
